Rank,Team,GP,G,A,S,SOG,FC,OFF,CK,PKG ,YC,RC
1,RGN,24,35,23,315,141,248,59,121,4,37,1
2,WAS,25,34,20,299,141,239,43,103,3,23,2
3,CHI,27,32,15,261,120,284,66,167,2,21,3
4,HOU,24,31,18,221,99,234,58,118,1,43,0
5,POR,24,30,19,354,152,240,50,168,3,23,0
6,NJY,25,29,22,229,88,277,72,138,2,41,0
7,NC,25,28,19,278,128,188,61,144,1,25,1
8,ORL,24,27,22,200,97,221,49,89,1,38,0
9,LOU,24,21,12,153,67,216,60,80,1,30,1
10,KC,24,15,8,240,100,214,46,109,2,31,1
